question,dedup_answer,answer,dataset_name,quality
"Nph.
				I am interested in a movement class. I have nph and can find no help with exercise or support group. Any ideas from [LOCATION] Med?","['Management of NPH\n\n\t\t\t\t\tDiagnosing normal pressure hydrocephalus (NPH) can be frustrating. Symptoms of gait disturbance, mild dementia and poor bladder control occur with other health conditions that affect people over 60. These conditions may also coexist with hydrocephalus, creating a challenge to clear and accurate diagnosis\n\t\t\t\t\tand making treatment difficult.\n\t\t\t\t\tVisit our community portals for age and life stage specific resources.\n\t\t\t\t\tBe informed and current about normal pressure hydrocephalus by tuning into interactive, free webinars on a variety of topics.']","['Management of NPH\n\n\t\t\t\t\tDiagnosing normal pressure hydrocephalus (NPH) can be frustrating. Symptoms of gait disturbance, mild dementia and poor bladder control occur with other health conditions that affect people over 60. These conditions may also coexist with hydrocephalus, creating a challenge to clear and accurate diagnosis\n\t\t\t\t\tand making treatment difficult.\n\t\t\t\t\tVisit our community portals for age and life stage specific resources.\n\t\t\t\t\tBe informed and current about normal pressure hydrocephalus by tuning into interactive, free webinars on a variety of topics.']",LiveQA,1
I was diagnosed with Fibromyalgia with chronic pain along with some other things and my blood work showed that I was missing a chromosone. How would I find out if I have a genetic for of Fibromyalgia?,"[""Is fibromyalgia hereditary?\n\t\t\t\t\tAnswers from Kevin C. Fleming, M.D.\n\t\t\t\t\tFibromyalgia isn't passed directly from parents to children, but the disorder does appear to cluster within families.\n\t\t\t\t\tThe odds of developing fibromyalgia are several times higher in the immediate families of people with fibromyalgia than in families in which no one has fibromyalgia.\n\t\t\t\t\tIn fact, studies of DNA from family members of people with fibromyalgia and other chronic pain syndromes have turned up a number of genes that could help explain why these disorders seem to run in families.\n\t\t\t\t\tEach of these genes plays a role in your nervous system's response to pain. Some of the same genes are also associated with depression and anxiety, which may be the reason why certain antidepressant medications help reduce fibromyalgia symptoms."", 'Although the etiology of FM remains unknown, it is thought to involve some combination of genetic susceptibility and environmental exposure that triggers further alterations in gene expression. Because FM shows marked familial aggregation, most previous research has focused on genetic\n\t\t\t\t\tpredisposition to FM and has revealed associations between genetic factors and the development of FM, including specific gene polymorphisms involved in the serotonergic, dopaminergic, and catecholaminergic pathways. The aim of this review was to discuss the current evidence regarding genetic\n\t\t\t\t\tfactors that may play a role in the development and symptom severity of FM.', ""That's why it can take a long time to go from fibromyalgia symptoms to a fibromyalgia diagnosis.\n\t\t\t\t\tFibromyalgia can't be easily confirmed or ruled out through a simple laboratory test. Your doctor can't detect it in your blood or see it on an X-ray. Instead, fibromyalgia appears to be linked to changes in how the brain and spinal cord process pain signals.\n\t\t\t\t\tBecause there is no test for fibromyalgia, your doctor must rely solely on your group of symptoms to make a diagnosis. Because a genetic factor appears to be involved in fibromyalgia, your doctor may also want to know if any other members of your immediate family have experienced similar symptoms.""]","[""Is fibromyalgia hereditary?\n\t\t\t\t\tAnswers from Kevin C. Fleming, M.D.\n\t\t\t\t\tFibromyalgia isn't passed directly from parents to children, but the disorder does appear to cluster within families.\n\t\t\t\t\tThe odds of developing fibromyalgia are several times higher in the immediate families of people with fibromyalgia than in families in which no one has fibromyalgia.\n\t\t\t\t\tIn fact, studies of DNA from family members of people with fibromyalgia and other chronic pain syndromes have turned up a number of genes that could help explain why these disorders seem to run in families.\n\t\t\t\t\tEach of these genes plays a role in your nervous system's response to pain. Some of the same genes are also associated with depression and anxiety, which may be the reason why certain antidepressant medications help reduce fibromyalgia symptoms."", 'Although the etiology of FM remains unknown, it is thought to involve some combination of genetic susceptibility and environmental exposure that triggers further alterations in gene expression. Because FM shows marked familial aggregation, most previous research has focused on genetic\n\t\t\t\t\tpredisposition to FM and has revealed associations between genetic factors and the development of FM, including specific gene polymorphisms involved in the serotonergic, dopaminergic, and catecholaminergic pathways. The aim of this review was to discuss the current evidence regarding genetic\n\t\t\t\t\tfactors that may play a role in the development and symptom severity of FM.', ""That's why it can take a long time to go from fibromyalgia symptoms to a fibromyalgia diagnosis.\n\t\t\t\t\tFibromyalgia can't be easily confirmed or ruled out through a simple laboratory test. Your doctor can't detect it in your blood or see it on an X-ray. Instead, fibromyalgia appears to be linked to changes in how the brain and spinal cord process pain signals.\n\t\t\t\t\tBecause there is no test for fibromyalgia, your doctor must rely solely on your group of symptoms to make a diagnosis. Because a genetic factor appears to be involved in fibromyalgia, your doctor may also want to know if any other members of your immediate family have experienced similar symptoms.""]",LiveQA,1
"after surgery for achalasia, will spasms continue in the upper chest area and if so what can assist in ending spasms","['Prognosis   The outlook for esophageal webs and rings is excellent. Even people with difficulty swallowing do well after dilation. If symptoms keep returning, you may need repeat dilations or electrocautery to control the symptoms.']","['Prognosis   The outlook for esophageal webs and rings is excellent. Even people with difficulty swallowing do well after dilation. If symptoms keep returning, you may need repeat dilations or electrocautery to control the symptoms.']",LiveQA,1
"my name is [NAME].  5days later i admitted in a hospital in treatment of viral fever.In hospital lot of tests blood,urine,ultrasound scan.In all tests my organs (lever,kidney,etc) are normal but my bilirubin Total is higher than normal. In my admission in hospital bilirubin is 3.2. Day by day my bilirubin decreased in the way of 2.8, 2.6, 2.4, 2.6, 2.5, respectevely. The other contents of blood and urine are normal at all. Hepatitis A,B,C are also negative.Today  Bilirubin direct  is 0.8. Doctor says it is Gilberts disease. Sir what can i do?. what is the reason for this?. what is your opinion sir? please reply soon .","['No treatment is necessary for Gilbert disease.', ""These resources address the diagnosis or management of Gilbert syndrome:  - Genetic Testing Registry: Gilbert's syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care""]","['No treatment is necessary for Gilbert disease.', ""These resources address the diagnosis or management of Gilbert syndrome:  - Genetic Testing Registry: Gilbert's syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care""]",LiveQA,1
"I would like to learn more about my condition. Please send me any literature you feel I could use. thanks, [NAME]","['Klinefelter syndrome is a genetic condition that occurs in males when they have an extra X chromosome.', 'Summary       Klinefelter syndrome (KS) is a condition that occurs in men who have an extra X chromosome. The syndrome can affect different stages of physical, language, and social development.    The most common symptom is infertility. Boys may be taller than other boys their age, with more fat around the belly. After puberty, KS boys may have       - Smaller testes and penis    - Breast growth    - Less facial and body hair    - Reduced muscle tone    - Narrower shoulders and wider hips    - Weaker bones    - Decreased sexual interest    - Lower energy       KS males may have learning or language problems. They may be quiet and shy and have trouble fitting in.    A genetic test can diagnose KS. There is no cure, but treatments are available. It is important to start treatment as early as possible. With treatment, most boys grow up to have normal lives.    Treatments include testosterone replacement therapy and breast reduction surgery. If needed, physical, speech, language, and occupational therapy may also help.    NIH: National Institute of Child Health and Human Development', 'Klinefelter syndrome is a chromosomal condition that affects male physical and cognitive development. Its signs and symptoms vary among affected individuals.  Affected individuals typically have small testes that do not produce as much testosterone as usual. Testosterone is the hormone that directs male sexual development before birth and during puberty. A shortage of testosterone can lead to delayed or incomplete puberty, breast enlargement (gynecomastia), reduced facial and body hair, and an inability to have biological children (infertility). Some affected individuals also have genital differences including undescended testes (cryptorchidism), the opening of the urethra on the underside of the penis (hypospadias), or an unusually small penis (micropenis).  Older children and adults with Klinefelter syndrome tend to be taller than their peers. Compared with unaffected men, adults with Klinefelter syndrome have an increased risk of developing breast cancer and a chronic inflammatory disease called systemic lupus erythematosus. Their chance of developing these disorders is similar to that of women in the general population.  Children with Klinefelter syndrome may have learning disabilities and delayed speech and language development. They tend to be quiet, sensitive, and unassertive, but personality characteristics vary among affected individuals.']","['Klinefelter syndrome is a genetic condition that occurs in males when they have an extra X chromosome.', 'Summary       Klinefelter syndrome (KS) is a condition that occurs in men who have an extra X chromosome. The syndrome can affect different stages of physical, language, and social development.    The most common symptom is infertility. Boys may be taller than other boys their age, with more fat around the belly. After puberty, KS boys may have       - Smaller testes and penis    - Breast growth    - Less facial and body hair    - Reduced muscle tone    - Narrower shoulders and wider hips    - Weaker bones    - Decreased sexual interest    - Lower energy       KS males may have learning or language problems. They may be quiet and shy and have trouble fitting in.    A genetic test can diagnose KS. There is no cure, but treatments are available. It is important to start treatment as early as possible. With treatment, most boys grow up to have normal lives.    Treatments include testosterone replacement therapy and breast reduction surgery. If needed, physical, speech, language, and occupational therapy may also help.    NIH: National Institute of Child Health and Human Development', 'Klinefelter syndrome is a chromosomal condition that affects male physical and cognitive development. Its signs and symptoms vary among affected individuals.  Affected individuals typically have small testes that do not produce as much testosterone as usual. Testosterone is the hormone that directs male sexual development before birth and during puberty. A shortage of testosterone can lead to delayed or incomplete puberty, breast enlargement (gynecomastia), reduced facial and body hair, and an inability to have biological children (infertility). Some affected individuals also have genital differences including undescended testes (cryptorchidism), the opening of the urethra on the underside of the penis (hypospadias), or an unusually small penis (micropenis).  Older children and adults with Klinefelter syndrome tend to be taller than their peers. Compared with unaffected men, adults with Klinefelter syndrome have an increased risk of developing breast cancer and a chronic inflammatory disease called systemic lupus erythematosus. Their chance of developing these disorders is similar to that of women in the general population.  Children with Klinefelter syndrome may have learning disabilities and delayed speech and language development. They tend to be quiet, sensitive, and unassertive, but personality characteristics vary among affected individuals.']",LiveQA,1
"I was diagnosed with sheehans syndrome almost 14 years after almost dying after the birth of my daughter.  My blood level fell to 1.3 I had a partial hysterectomy following the birth.  I recently had my thyroid removed after diagnosis of cancer and was told that I am post menopause, I am only 39 years old.  Do you have any information regarding diagnosis and misdiagnosis. What should the medical care have done to identify the syndrome?","['Tests you may have include:  - Blood tests to measure hormone levels  - MRI of the head to rule out other pituitary problems, such as a tumor', 'Diagnosis of Sheehan syndrome can be difficult. The diagnosis is based on clinical evidence of hypopituitarism in a woman with a history of severe postpartum bleeding. Blood tests to measure hormone levels and CT scan of the head (to rule out other pituitary problems such as a tumor) may help to confirm the diagnosis.']","['Tests you may have include:  - Blood tests to measure hormone levels  - MRI of the head to rule out other pituitary problems, such as a tumor', 'Diagnosis of Sheehan syndrome can be difficult. The diagnosis is based on clinical evidence of hypopituitarism in a woman with a history of severe postpartum bleeding. Blood tests to measure hormone levels and CT scan of the head (to rule out other pituitary problems such as a tumor) may help to confirm the diagnosis.']",LiveQA,1
"Hello, my name is Pa Xiong and i am a student at Grant High School here in sacramento. I am composing a research report on SIDS and i was hoping you could help me with some information. I was particularly interested in learning weather parents should be worried about cribs death and if you could direct me to some resources on that, or even allow me to interview you. Thank you for your time. If you have anything else that might help me, i would really appreciate it. You can email me at Pa_xiong25@yahoo.com or contact me by my phone at (916)297-1911. Thanks again.","['Summary  Sudden infant death syndrome (SIDS) is the sudden, unexplained death of an infant younger than one year old. Some people call SIDS ""crib death"" because many babies who die of SIDS are found in their cribs.  SIDS is the leading cause of death in children between one month and one year old. Most SIDS deaths occur when babies are between two months and four months old. Premature babies, boys, African Americans, and American Indian/Alaska Native infants have a higher risk of SIDS.  Although health care professionals don\'t know what causes SIDS, they do know ways to reduce the risk. These include      Placing babies on their backs to sleep, even for short naps. ""Tummy time"" is for when babies are awake and someone is watching     Using a firm sleep surface, such as a crib mattress covered with a fitted sheet     Keeping soft objects and loose bedding away from sleep area     Making sure babies don\'t get too hot. Keep the room at a comfortable temperature for an adult.     Don\'t smoke during pregnancy or allow anyone to smoke near your baby']","['Summary  Sudden infant death syndrome (SIDS) is the sudden, unexplained death of an infant younger than one year old. Some people call SIDS ""crib death"" because many babies who die of SIDS are found in their cribs.  SIDS is the leading cause of death in children between one month and one year old. Most SIDS deaths occur when babies are between two months and four months old. Premature babies, boys, African Americans, and American Indian/Alaska Native infants have a higher risk of SIDS.  Although health care professionals don\'t know what causes SIDS, they do know ways to reduce the risk. These include      Placing babies on their backs to sleep, even for short naps. ""Tummy time"" is for when babies are awake and someone is watching     Using a firm sleep surface, such as a crib mattress covered with a fitted sheet     Keeping soft objects and loose bedding away from sleep area     Making sure babies don\'t get too hot. Keep the room at a comfortable temperature for an adult.     Don\'t smoke during pregnancy or allow anyone to smoke near your baby']",LiveQA,1
"Question in laymen terms: Has any genetic or other correlation ever been made between these two diagnosis? My 59 y.o. sister has a diagnosis of Periventricular Heterotopia.  Her 30 y.o. daughter has been suffering with same for last 15 years.  Her 37 Y.O. daughter is clinically full-care retarded (since infancy) and has severe idiopathic scoliosis.  I have severe idiopathic scoliosis. I use the term ""severe""; to express debilitating and multiple fusion surgeries.  All four of my generation female siblings have a level of scoliosis.  FYI: this PH sister died last week, her remains are at the University of Rochester",['Isolated lissencephaly sequence (ILS) is a condition that affects brain development before birth. Children with ILS often develop muscle stiffness (spasticity) in their arms and legs and an abnormal side-to-side curvature of the spine (scoliosis).'],['Isolated lissencephaly sequence (ILS) is a condition that affects brain development before birth. Children with ILS often develop muscle stiffness (spasticity) in their arms and legs and an abnormal side-to-side curvature of the spine (scoliosis).'],LiveQA,1
"Hello dear Dr, i am  an afghan student in [LOCATION], the mouth ulcer problem is the worst problem in my lifetime, even three or four times the ulcer grow up in the mouth during of a month. even i can not eat or drink, even though i take care of my mouth every day, so i wish you to consult me about of removing of these ulcer forever. thank you so much","['The goal of treatment is to relieve symptoms.  - The underlying cause of the ulcer should be treated if it is known.   - Gently cleaning your mouth and teeth may help relieve your symptoms.  - Medicines that you rub directly on the ulcer such as antihistamines, antacids, and corticosteroids may help soothe discomfort.  - Avoid hot or spicy foods until the ulcer is healed.']","['The goal of treatment is to relieve symptoms.  - The underlying cause of the ulcer should be treated if it is known.   - Gently cleaning your mouth and teeth may help relieve your symptoms.  - Medicines that you rub directly on the ulcer such as antihistamines, antacids, and corticosteroids may help soothe discomfort.  - Avoid hot or spicy foods until the ulcer is healed.']",LiveQA,1
"sir, what is the difference between spondyloepiphyseal dysplasia and metatropic dysplasia and how can we differntiate prenatally ??","['There has been significant progress in the identification of the molecular defects in these disorders. Molecular diagnosis can be used to confirm a clinical and radiographic diagnosis, predict carrier status in those families at risk for a recessive disorder, and allow for prenatal diagnosis of at-risk fetuses. Because these are rare disorders, commercial testing is not always readily available; however, GeneTests (www.genetests.org), a publically funded website, provides current information on these diseases and those laboratories providing clinical genetic testing and those who are interested in material for ongoing research.']","['There has been significant progress in the identification of the molecular defects in these disorders. Molecular diagnosis can be used to confirm a clinical and radiographic diagnosis, predict carrier status in those families at risk for a recessive disorder, and allow for prenatal diagnosis of at-risk fetuses. Because these are rare disorders, commercial testing is not always readily available; however, GeneTests (www.genetests.org), a publically funded website, provides current information on these diseases and those laboratories providing clinical genetic testing and those who are interested in material for ongoing research.']",LiveQA,1
My father passed away February 2012. Hospice helped our family with his passing and offered us counseling which at that time our family didn't use. My brother is now interested in counseling services and I'm wondering if I can get some information on this. Thank you.,['Where can I find help?  The following list of organizations and Web sites  provides information and support for coping  with grief:'],['Where can I find help?  The following list of organizations and Web sites  provides information and support for coping  with grief:'],LiveQA,1
My mother in law is in the last stage if lung cancer and only has days to live.  My question is...testing her and comparing her tests with my husbands and his sisters test help to determine if it is genetic?  My mother in law  and her mother and her mothers sister both had lung cancer and none if them were smokers.  I'm real worried about my husband getting lung cancer now and I want find out what we can do to protect him.Thank you,"['Personal or Family History of Lung Cancer  If you are a lung cancer survivor, there is a risk that you may develop another lung cancer, especially if you smoke. Your risk of lung cancer may be higher if your parents, brothers or sisters, or children have had lung cancer. This could be true because they also smoke, or they live or work in the same place where they are exposed to radon and other substances that can cause lung cancer.']","['Personal or Family History of Lung Cancer  If you are a lung cancer survivor, there is a risk that you may develop another lung cancer, especially if you smoke. Your risk of lung cancer may be higher if your parents, brothers or sisters, or children have had lung cancer. This could be true because they also smoke, or they live or work in the same place where they are exposed to radon and other substances that can cause lung cancer.']",LiveQA,1
"I am having symptoms of shingles, no rash or blisters, is it too late to get the vaccine? I have had the chicken pox and take acylovir on a as needed basis for blisters I get on my buttocks","[""The shingles vaccine (Zostavax) is recommended for adults age 60 and older, whether they've already had shingles or not. Although the vaccine is approved for people age 50 and older, the Centers for Disease Control and Prevention isn't recommending it until you reach age 60.""]","[""The shingles vaccine (Zostavax) is recommended for adults age 60 and older, whether they've already had shingles or not. Although the vaccine is approved for people age 50 and older, the Centers for Disease Control and Prevention isn't recommending it until you reach age 60.""]",LiveQA,1
what causes leptospirosis to spread in the human body,"['The Leptospira bacteria can be found in fresh water that has been contaminated by animal urine. The infection occurs in warmer climates.  Leptospirosis\xa0is not spread from person to person, except in vary rare cases. It occasionally spreads through sexual intercourse,\xa0breast milk, or from a mother to her unborn child.  Risk factors include:  - Occupational exposure -- farmers, ranchers, slaughterhouse workers, trappers, veterinarians, loggers, sewer workers, rice field workers, and military personnel  - Recreational activities -- fresh water swimming, canoeing, kayaking, and trail biking in warm areas  - Household exposure -- pet dogs, domesticated livestock, rainwater catchment systems, and infected rodents    Leptospirosis is rare in the continental United States. Hawaii has the highest number of cases in the United States.']","['The Leptospira bacteria can be found in fresh water that has been contaminated by animal urine. The infection occurs in warmer climates.  Leptospirosis\xa0is not spread from person to person, except in vary rare cases. It occasionally spreads through sexual intercourse,\xa0breast milk, or from a mother to her unborn child.  Risk factors include:  - Occupational exposure -- farmers, ranchers, slaughterhouse workers, trappers, veterinarians, loggers, sewer workers, rice field workers, and military personnel  - Recreational activities -- fresh water swimming, canoeing, kayaking, and trail biking in warm areas  - Household exposure -- pet dogs, domesticated livestock, rainwater catchment systems, and infected rodents    Leptospirosis is rare in the continental United States. Hawaii has the highest number of cases in the United States.']",LiveQA,1
iam 24yr old turning 25 this yr ive been having unprotected sex with my bf since i was 17 i still havent fall pregnant could something be possibly wrong with me,"['What causes infertility in men?  Infertility in men can be caused by different factors and is typically evaluated by a semen analysis. A specialist will evaluate the number of sperm (concentration), motility (movement), and morphology (shape). A slightly abnormal semen analysis does not mean that a man is necessarily infertile. Instead, a semen analysis helps determine if and how male factors are contributing to infertility.   Conditions that can contribute to abnormal semen analyses include—  •Varicoceles, a condition in which the veins on a man’s testicles are large and cause them to overheat. The heat may affect the number or shape of the sperm.  •Medical conditions or exposures such as diabetes, cystic fibrosis, trauma, infection, testicular failure, or treatment with chemotherapy or radiation. •Unhealthy habits such as heavy alcohol use, testosterone supplementation, smoking, anabolic steroid use, and illicit drug use. •Environmental toxins including exposure to pesticides and lead. What causes infertility in women?  Women need functioning ovaries, fallopian tubes, and a uterus to get pregnant. Conditions affecting any one of these organs can contribute to female infertility. Some of these conditions are listed below and can be evaluated using a number of different tests.']","['What causes infertility in men?  Infertility in men can be caused by different factors and is typically evaluated by a semen analysis. A specialist will evaluate the number of sperm (concentration), motility (movement), and morphology (shape). A slightly abnormal semen analysis does not mean that a man is necessarily infertile. Instead, a semen analysis helps determine if and how male factors are contributing to infertility.   Conditions that can contribute to abnormal semen analyses include—  •Varicoceles, a condition in which the veins on a man’s testicles are large and cause them to overheat. The heat may affect the number or shape of the sperm.  •Medical conditions or exposures such as diabetes, cystic fibrosis, trauma, infection, testicular failure, or treatment with chemotherapy or radiation. •Unhealthy habits such as heavy alcohol use, testosterone supplementation, smoking, anabolic steroid use, and illicit drug use. •Environmental toxins including exposure to pesticides and lead. What causes infertility in women?  Women need functioning ovaries, fallopian tubes, and a uterus to get pregnant. Conditions affecting any one of these organs can contribute to female infertility. Some of these conditions are listed below and can be evaluated using a number of different tests.']",LiveQA,1
"Please i really need your reply and your help :( My wife has Allergy from all milk products and whenever she drinks or eats any thing contains small amount of any milk products she goes to the hospital. I have faith that there is a cure for that but i really donno what to say to her. She thinks that she will never be cured. So please can you tell me is there is any cure for milk products allergy, any cure? or any cure in the very near future? I will be very very very grateful if you replied, Thanks alot. :)","['What kinds of treatments and prevention have been helpful? Joanna: There is no cure for adults with food allergies. Medications like epinephrine injections and antihistamines can treat symptoms, but avoiding the trigger foods and carrying my EpiPen at all times is how I stay safe and healthy.']","['What kinds of treatments and prevention have been helpful? Joanna: There is no cure for adults with food allergies. Medications like epinephrine injections and antihistamines can treat symptoms, but avoiding the trigger foods and carrying my EpiPen at all times is how I stay safe and healthy.']",LiveQA,1
"Hey, my name is [NAME]. Last night my vaginal area was itching but I didn't think to much of it.  Well when I woke up this morning it started itching out of control.  I don't see discharge coming from the vaginal area.  Now I do use Summer's Eve vaginal spray, I don't know if it is a vaginal yeast infection or not, but how should I go about this process.","['You will have a pelvic exam. It may show:   - Swelling and redness of the skin of the vulva, in the vagina, and on the cervix   - Dry, white spots on the vaginal wall  - Cracks in the skin of the vulva.   A small amount of the vaginal discharge is examined using a microscope. This is called a wet mount and KOH test.  Sometimes, a culture is taken when the infection does not get better with treatment or comes back many times.  Your health care provider may order other tests to rule out other causes of your symptoms.']","['You will have a pelvic exam. It may show:   - Swelling and redness of the skin of the vulva, in the vagina, and on the cervix   - Dry, white spots on the vaginal wall  - Cracks in the skin of the vulva.   A small amount of the vaginal discharge is examined using a microscope. This is called a wet mount and KOH test.  Sometimes, a culture is taken when the infection does not get better with treatment or comes back many times.  Your health care provider may order other tests to rule out other causes of your symptoms.']",LiveQA,1
Please help me out as to whom to consult for anxiety and depression,"['Anxiety and Depression Association of America, ADAA http://www.adaa.org/']","['Anxiety and Depression Association of America, ADAA http://www.adaa.org/']",LiveQA,1
vdrl positive patients please tell me what are he doing . Diagnosis and precaution.,"[""Syphilis\n\t\t\t\t\tIf the RPR, VDRL, or TRUST tests are positive, one of the following tests will be needed to confirm the diagnosis: FTA-ABS (fluorescent treponemal antibody test); MHA-TP; TP-EIA; TP-PA.\n\t\t\t\t\tSyphilis can be treated with antibiotics, such as: Doxycycline (type of tetracycline given to people who are allergic to penicillin); Penicillin G benzathine.\n\t\t\t\t\tLength of treatment depends on how severe the syphilis is, and factors such as the person's overall health.\n\t\t\t\t\tSeveral hours after getting treatment for the early stages of syphilis, people may experience the Jarisch-Herxheimer reaction. This process is caused by an immune reaction to the breakdown products of the infection.\n\t\t\t\t\tFollow-up blood tests must be done at 3, 6, 12, and 24 months to ensure that the infection is gone. Avoid sexual contact when the chancre is present. Use condoms until two follow-up tests have shown that the infection has been cured, to reduce the chance of transmitting the infection.\n\t\t\t\t\tAll sexual partners of the person with syphilis should also be treated. Syphilis can spread very easily in the primary and secondary stages.""]","[""Syphilis\n\t\t\t\t\tIf the RPR, VDRL, or TRUST tests are positive, one of the following tests will be needed to confirm the diagnosis: FTA-ABS (fluorescent treponemal antibody test); MHA-TP; TP-EIA; TP-PA.\n\t\t\t\t\tSyphilis can be treated with antibiotics, such as: Doxycycline (type of tetracycline given to people who are allergic to penicillin); Penicillin G benzathine.\n\t\t\t\t\tLength of treatment depends on how severe the syphilis is, and factors such as the person's overall health.\n\t\t\t\t\tSeveral hours after getting treatment for the early stages of syphilis, people may experience the Jarisch-Herxheimer reaction. This process is caused by an immune reaction to the breakdown products of the infection.\n\t\t\t\t\tFollow-up blood tests must be done at 3, 6, 12, and 24 months to ensure that the infection is gone. Avoid sexual contact when the chancre is present. Use condoms until two follow-up tests have shown that the infection has been cured, to reduce the chance of transmitting the infection.\n\t\t\t\t\tAll sexual partners of the person with syphilis should also be treated. Syphilis can spread very easily in the primary and secondary stages.""]",LiveQA,1
"We appreciate your response. My son is 24 years old. We cannot find any drugs, treatments as well as hospitals to fight against Wilson's disease in Mongolia. Currently there is only person with Wilson's disease in Mongolia who is my son. We cannot find anything good to help my son at the moment. Therefore, we need somewhere where my son can get help. We are also lack of financial condition to support full treatment for my son. However, we wish to have good medication with less expense if possible. We want to get diagnosed my son's other infected organs and want to know how we can help to get them recovered well. Regards ","['The goal of treatment is to reduce the amount of copper in the tissues. This is done by a procedure called chelation -- certain medications can bind to copper and help remove it through the kidneys or gut. Treatment must be lifelong.  The following medications may be used:  - Penicillamine (Cuprimine, Depen) binds to copper and leads to increased release of copper in the urine.  - Trientine (Syprine) binds (chelates) the copper and increases its release through the urine.  - Zinc acetate (Galzin) blocks copper from being absorbed in the intestinal tract.    Vitamin E supplements may also be used.  Sometimes, medications that chelate copper (especially penicillamine) can affect the function of the brain and nervous system (neurological function). Other medications under investigation may bind copper without affecting neurological function.  A low-copper diet may also be recommended. Foods to avoid include:  - Chocolate  - Dried fruit  - Liver  - Mushrooms  - Nuts  - Shellfish    You may want to drink distilled water because most tap water flows through copper pipes. Avoid using copper cooking utensils.  Symptoms may be treated with exercise or physical therapy. People who are confused or unable to care for themselves may need special protective measures.  A liver transplant may be considered in cases where the liver is severely damaged by the disease.', ""These resources address the diagnosis or management of Wilson disease:  - Gene Review: Gene Review: Wilson Disease  - Genetic Testing Registry: Wilson's disease  - MedlinePlus Encyclopedia: Wilson's disease  - National Human Genome Research Institute   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care""]","['The goal of treatment is to reduce the amount of copper in the tissues. This is done by a procedure called chelation -- certain medications can bind to copper and help remove it through the kidneys or gut. Treatment must be lifelong.  The following medications may be used:  - Penicillamine (Cuprimine, Depen) binds to copper and leads to increased release of copper in the urine.  - Trientine (Syprine) binds (chelates) the copper and increases its release through the urine.  - Zinc acetate (Galzin) blocks copper from being absorbed in the intestinal tract.    Vitamin E supplements may also be used.  Sometimes, medications that chelate copper (especially penicillamine) can affect the function of the brain and nervous system (neurological function). Other medications under investigation may bind copper without affecting neurological function.  A low-copper diet may also be recommended. Foods to avoid include:  - Chocolate  - Dried fruit  - Liver  - Mushrooms  - Nuts  - Shellfish    You may want to drink distilled water because most tap water flows through copper pipes. Avoid using copper cooking utensils.  Symptoms may be treated with exercise or physical therapy. People who are confused or unable to care for themselves may need special protective measures.  A liver transplant may be considered in cases where the liver is severely damaged by the disease.', ""These resources address the diagnosis or management of Wilson disease:  - Gene Review: Gene Review: Wilson Disease  - Genetic Testing Registry: Wilson's disease  - MedlinePlus Encyclopedia: Wilson's disease  - National Human Genome Research Institute   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care""]",LiveQA,1
